Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
64,Friday Jun 29,boxscore,STL,@,CIN,L,1,7,,38-26,3,3.0,Derringer,Carleton,,2:07,D,,-,
65,Saturday Jun 30,boxscore,STL,@,CIN,L,4,11,,38-27,3,3.0,Johnson,Dean,Brennan,,D,,--,
66,Sunday Jul 1 (1),boxscore,STL,@,CIN,W,8,6,18,39-27,3,3.0,Dean,Derringer,Lindsey,4:28,D,,+,
67,Sunday Jul 1 (2),boxscore,STL,@,CIN,T,2,2,5,39-27,3,3.0,,,,1:13,D,12000,+,
68,Monday Jul 2,boxscore,STL,@,CHC,L &X,1,7,,39-28,3,4.0,Warneke,Dean,,2:07,D,,-,
69,Tuesday Jul 3,boxscore,STL,@,CHC,W,7,3,,40-28,3,3.0,Hallahan,Bush,,,D,,+,
70,Wednesday Jul 4 (1),boxscore,STL,,CHC,W,6,2,,41-28,3,4.0,Carleton,Lee,,1:45,D,,++,
71,Wednesday Jul 4 (2),boxscore,STL,,CHC,L,2,6,,41-29,3,4.0,Weaver,Mooney,,2:25,D,24500,-,
72,Friday Jul 6,boxscore,STL,,CIN,L,15,16,,41-30,3,4.5,Brennan,Haines,Johnson,2:41,D,,--,
73,Saturday Jul 7,boxscore,STL,,CIN,W,10,4,,42-30,3,3.5,Hallahan,Freitas,,2:09,D,,+,
74,Sunday Jul 8 (1),boxscore,STL,,CIN,W,6,1,,43-30,3,4.0,Dean,Derringer,,1:38,D,,++,
75,Sunday Jul 8 (2),boxscore,STL,,CIN,L,4,8,,43-31,3,4.0,Frey,Dean,,2:05,D,,-,1934-07-05 (Schedule change)
76,Wednesday Jul 11,boxscore,STL,@,PHI,L,2,5,,43-32,3,5.0,Collins,Carleton,,1:45,D,,--,
77,Thursday Jul 12 (1),boxscore,STL,@,PHI,W,8,5,,44-32,3,5.0,Dean,Hansen,,,D,,+,
78,Thursday Jul 12 (2),boxscore,STL,@,PHI,L,3,8,,44-33,3,5.0,Davis,Hallahan,,,D,,-,
79,Saturday Jul 14,boxscore,STL,@,BRO,L,2,10,,44-34,3,5.5,Babich,Walker,,,D,,--,
80,Sunday Jul 15 (1),boxscore,STL,@,BRO,W,2,0,,45-34,3,5.0,Dean,Benge,,2:02,D,,+,
81,Sunday Jul 15 (2),boxscore,STL,@,BRO,W,6,3,,46-34,3,5.0,Carleton,Munns,,2:03,D,22000,++,1934-05-25 (Rain)
82,Tuesday Jul 17,boxscore,STL,@,BRO,L,6,7,,46-35,3,5.5,Leonard,Haines,,,D,,-,
83,Wednesday Jul 18,boxscore,STL,@,BRO,W,5,3,,47-35,3,5.5,Walker,Babich,Vance,,D,,+,
84,Thursday Jul 19,boxscore,STL,@,BSN,W,4,2,,48-35,3,5.5,Dean,Smith,,2:06,D,,++,
85,Friday Jul 20,boxscore,STL,@,BSN,W,5,1,,49-35,3,5.5,Carleton,Rhem,,,D,,+++,
86,Saturday Jul 21,boxscore,STL,@,BSN,W,5,3,,50-35,3,4.5,Mooney,Brandt,,2:00,D,,++++,
87,Sunday Jul 22 (1),boxscore,STL,@,BSN,W,5,4,,51-35,3,4.0,Walker,Frankhouse,,1:52,D,,+++++,
88,Sunday Jul 22 (2),boxscore,STL,@,BSN,W,4,2,,52-35,3,4.0,Vance,Cantwell,,1:52,D,,++++++,1934-09-17 (Rain)
89,Monday Jul 23,boxscore,STL,@,NYG,W,6,5,,53-35,3,3.0,Dean,Schumacher,,,D,,+++++++,
90,Tuesday Jul 24,boxscore,STL,@,NYG,L,0,5,,53-36,3,4.0,Parmelee,Carleton,,,D,,-,
91,Thursday Jul 26 (1),boxscore,STL,@,NYG,W,7,2,,54-36,3,4.0,Dean,Hubbell,Dean,,D,,+,
92,Thursday Jul 26 (2),boxscore,STL,@,NYG,L,3,6,,54-37,3,4.0,Fitzsimmons,Walker,,,D,,-,1934-07-25 (Rain)
